date,state_group,fire_count,year,month,day,season_day
2020-10-01,Punjab,171,2020,10,1,1
2020-10-02,Punjab,146,2020,10,2,2
2020-10-03,Punjab,97,2020,10,3,3
2020-10-04,Punjab,198,2020,10,4,4
2020-10-05,Punjab,151,2020,10,5,5
2020-10-06,Punjab,189,2020,10,6,6
2020-10-07,Punjab,183,2020,10,7,7
2020-10-08,Punjab,112,2020,10,8,8
2020-10-09,Punjab,127,2020,10,9,9
2020-10-10,Punjab,238,2020,10,10,10
2020-10-11,Punjab,442,2020,10,11,11
2020-10-12,Punjab,339,2020,10,12,12
2020-10-13,Punjab,270,2020,10,13,13
2020-10-14,Punjab,496,2020,10,14,14
2020-10-15,Punjab,556,2020,10,15,15
2020-10-16,Punjab,663,2020,10,16,16
2020-10-17,Punjab,1116,2020,10,17,17
2020-10-18,Punjab,919,2020,10,18,18
2020-10-19,Punjab,698,2020,10,19,19
2020-10-20,Punjab,1024,2020,10,20,20
2020-10-21,Punjab,1123,2020,10,21,21
2020-10-22,Punjab,1543,2020,10,22,22
2020-10-23,Punjab,1121,2020,10,23,23
2020-10-24,Punjab,821,2020,10,24,24
2020-10-25,Punjab,1464,2020,10,25,25
2020-10-26,Punjab,1705,2020,10,26,26
2020-10-27,Punjab,2494,2020,10,27,27
2020-10-28,Punjab,2505,2020,10,28,28
2020-10-29,Punjab,1572,2020,10,29,29
2020-10-30,Punjab,3321,2020,10,30,30
2020-10-31,Punjab,3740,2020,10,31,31
2020-11-01,Punjab,3514,2020,11,1,32
2020-11-02,Punjab,3570,2020,11,2,33
2020-11-03,Punjab,2438,2020,11,3,34
2020-11-04,Punjab,3948,2020,11,4,35
2020-11-05,Punjab,5234,2020,11,5,36
2020-11-06,Punjab,4238,2020,11,6,37
2020-11-07,Punjab,5162,2020,11,7,38
2020-11-08,Punjab,3346,2020,11,8,39
2020-11-09,Punjab,1519,2020,11,9,40
2020-11-10,Punjab,3473,2020,11,10,41
2020-11-11,Punjab,2458,2020,11,11,42
2020-11-12,Punjab,1868,2020,11,12,43
2020-11-13,Punjab,1769,2020,11,13,44
2020-11-14,Punjab,358,2020,11,14,45
2020-11-15,Punjab,68,2020,11,15,46
2020-11-16,Punjab,15,2020,11,16,47
2020-11-17,Punjab,266,2020,11,17,48
2020-11-18,Punjab,639,2020,11,18,49
2020-11-19,Punjab,441,2020,11,19,50
2020-11-20,Punjab,552,2020,11,20,51
2020-11-21,Punjab,559,2020,11,21,52
2020-11-22,Punjab,24,2020,11,22,53
2020-11-23,Punjab,47,2020,11,23,54
2020-11-24,Punjab,9,2020,11,24,55
2020-11-25,Punjab,0,2020,11,25,56
2020-11-26,Punjab,26,2020,11,26,57
2020-11-27,Punjab,107,2020,11,27,58
2020-11-28,Punjab,107,2020,11,28,59
2020-11-29,Punjab,66,2020,11,29,60
2020-11-30,Punjab,30,2020,11,30,61
2020-10-01,Haryana,32,2020,10,1,1
2020-10-02,Haryana,36,2020,10,2,2
2020-10-03,Haryana,13,2020,10,3,3
2020-10-04,Haryana,53,2020,10,4,4
2020-10-05,Haryana,26,2020,10,5,5
2020-10-06,Haryana,57,2020,10,6,6
2020-10-07,Haryana,68,2020,10,7,7
2020-10-08,Haryana,48,2020,10,8,8
2020-10-09,Haryana,34,2020,10,9,9
2020-10-10,Haryana,72,2020,10,10,10
2020-10-11,Haryana,150,2020,10,11,11
2020-10-12,Haryana,111,2020,10,12,12
2020-10-13,Haryana,67,2020,10,13,13
2020-10-14,Haryana,59,2020,10,14,14
2020-10-15,Haryana,157,2020,10,15,15
2020-10-16,Haryana,114,2020,10,16,16
2020-10-17,Haryana,215,2020,10,17,17
2020-10-18,Haryana,222,2020,10,18,18
2020-10-19,Haryana,52,2020,10,19,19
2020-10-20,Haryana,107,2020,10,20,20
2020-10-21,Haryana,123,2020,10,21,21
2020-10-22,Haryana,167,2020,10,22,22
2020-10-23,Haryana,138,2020,10,23,23
2020-10-24,Haryana,89,2020,10,24,24
2020-10-25,Haryana,194,2020,10,25,25
2020-10-26,Haryana,91,2020,10,26,26
2020-10-27,Haryana,148,2020,10,27,27
2020-10-28,Haryana,181,2020,10,28,28
2020-10-29,Haryana,91,2020,10,29,29
2020-10-30,Haryana,128,2020,10,30,30
2020-10-31,Haryana,181,2020,10,31,31
2020-11-01,Haryana,186,2020,11,1,32
2020-11-02,Haryana,139,2020,11,2,33
2020-11-03,Haryana,135,2020,11,3,34
2020-11-04,Haryana,85,2020,11,4,35
2020-11-05,Haryana,130,2020,11,5,36
2020-11-06,Haryana,160,2020,11,6,37
2020-11-07,Haryana,236,2020,11,7,38
2020-11-08,Haryana,154,2020,11,8,39
2020-11-09,Haryana,27,2020,11,9,40
2020-11-10,Haryana,154,2020,11,10,41
2020-11-11,Haryana,129,2020,11,11,42
2020-11-12,Haryana,125,2020,11,12,43
2020-11-13,Haryana,125,2020,11,13,44
2020-11-14,Haryana,55,2020,11,14,45
2020-11-15,Haryana,42,2020,11,15,46
2020-11-16,Haryana,4,2020,11,16,47
2020-11-17,Haryana,20,2020,11,17,48
2020-11-18,Haryana,78,2020,11,18,49
2020-11-19,Haryana,45,2020,11,19,50
2020-11-20,Haryana,62,2020,11,20,51
2020-11-21,Haryana,107,2020,11,21,52
2020-11-22,Haryana,14,2020,11,22,53
2020-11-23,Haryana,63,2020,11,23,54
2020-11-24,Haryana,19,2020,11,24,55
2020-11-25,Haryana,0,2020,11,25,56
2020-11-26,Haryana,8,2020,11,26,57
2020-11-27,Haryana,27,2020,11,27,58
2020-11-28,Haryana,73,2020,11,28,59
2020-11-29,Haryana,50,2020,11,29,60
2020-11-30,Haryana,23,2020,11,30,61
2020-10-01,Delhi,1,2020,10,1,1
2020-10-02,Delhi,1,2020,10,2,2
2020-10-03,Delhi,1,2020,10,3,3
2020-10-04,Delhi,1,2020,10,4,4
2020-10-05,Delhi,1,2020,10,5,5
2020-10-06,Delhi,2,2020,10,6,6
2020-10-07,Delhi,3,2020,10,7,7
2020-10-08,Delhi,1,2020,10,8,8
2020-10-09,Delhi,0,2020,10,9,9
2020-10-10,Delhi,1,2020,10,10,10
2020-10-11,Delhi,1,2020,10,11,11
2020-10-12,Delhi,2,2020,10,12,12
2020-10-13,Delhi,0,2020,10,13,13
2020-10-14,Delhi,0,2020,10,14,14
2020-10-15,Delhi,1,2020,10,15,15
2020-10-16,Delhi,2,2020,10,16,16
2020-10-17,Delhi,1,2020,10,17,17
2020-10-18,Delhi,0,2020,10,18,18
2020-10-19,Delhi,0,2020,10,19,19
2020-10-20,Delhi,0,2020,10,20,20
2020-10-21,Delhi,4,2020,10,21,21
2020-10-22,Delhi,4,2020,10,22,22
2020-10-23,Delhi,4,2020,10,23,23
2020-10-24,Delhi,5,2020,10,24,24
2020-10-25,Delhi,0,2020,10,25,25
2020-10-26,Delhi,1,2020,10,26,26
2020-10-27,Delhi,2,2020,10,27,27
2020-10-28,Delhi,0,2020,10,28,28
2020-10-29,Delhi,0,2020,10,29,29
2020-10-30,Delhi,0,2020,10,30,30
2020-10-31,Delhi,1,2020,10,31,31
2020-11-01,Delhi,2,2020,11,1,32
2020-11-02,Delhi,4,2020,11,2,33
2020-11-03,Delhi,0,2020,11,3,34
2020-11-04,Delhi,1,2020,11,4,35
2020-11-05,Delhi,0,2020,11,5,36
2020-11-06,Delhi,1,2020,11,6,37
2020-11-07,Delhi,1,2020,11,7,38
2020-11-08,Delhi,1,2020,11,8,39
2020-11-09,Delhi,1,2020,11,9,40
2020-11-10,Delhi,0,2020,11,10,41
2020-11-11,Delhi,0,2020,11,11,42
2020-11-12,Delhi,1,2020,11,12,43
2020-11-13,Delhi,2,2020,11,13,44
2020-11-14,Delhi,3,2020,11,14,45
2020-11-15,Delhi,0,2020,11,15,46
2020-11-16,Delhi,1,2020,11,16,47
2020-11-17,Delhi,2,2020,11,17,48
2020-11-18,Delhi,0,2020,11,18,49
2020-11-19,Delhi,0,2020,11,19,50
2020-11-20,Delhi,0,2020,11,20,51
2020-11-21,Delhi,0,2020,11,21,52
2020-11-22,Delhi,1,2020,11,22,53
2020-11-23,Delhi,1,2020,11,23,54
2020-11-24,Delhi,0,2020,11,24,55
2020-11-25,Delhi,0,2020,11,25,56
2020-11-26,Delhi,1,2020,11,26,57
2020-11-27,Delhi,2,2020,11,27,58
2020-11-28,Delhi,2,2020,11,28,59
2020-11-29,Delhi,1,2020,11,29,60
2020-11-30,Delhi,0,2020,11,30,61
2020-10-01,Other,123,2020,10,1,1
2020-10-02,Other,145,2020,10,2,2
2020-10-03,Other,99,2020,10,3,3
2020-10-04,Other,129,2020,10,4,4
2020-10-05,Other,132,2020,10,5,5
2020-10-06,Other,206,2020,10,6,6
2020-10-07,Other,159,2020,10,7,7
2020-10-08,Other,145,2020,10,8,8
2020-10-09,Other,120,2020,10,9,9
2020-10-10,Other,200,2020,10,10,10
2020-10-11,Other,299,2020,10,11,11
2020-10-12,Other,227,2020,10,12,12
2020-10-13,Other,132,2020,10,13,13
2020-10-14,Other,162,2020,10,14,14
2020-10-15,Other,140,2020,10,15,15
2020-10-16,Other,311,2020,10,16,16
2020-10-17,Other,335,2020,10,17,17
2020-10-18,Other,223,2020,10,18,18
2020-10-19,Other,135,2020,10,19,19
2020-10-20,Other,169,2020,10,20,20
2020-10-21,Other,150,2020,10,21,21
2020-10-22,Other,193,2020,10,22,22
2020-10-23,Other,114,2020,10,23,23
2020-10-24,Other,104,2020,10,24,24
2020-10-25,Other,116,2020,10,25,25
2020-10-26,Other,204,2020,10,26,26
2020-10-27,Other,237,2020,10,27,27
2020-10-28,Other,186,2020,10,28,28
2020-10-29,Other,72,2020,10,29,29
2020-10-30,Other,90,2020,10,30,30
2020-10-31,Other,165,2020,10,31,31
2020-11-01,Other,250,2020,11,1,32
2020-11-02,Other,198,2020,11,2,33
2020-11-03,Other,177,2020,11,3,34
2020-11-04,Other,167,2020,11,4,35
2020-11-05,Other,180,2020,11,5,36
2020-11-06,Other,272,2020,11,6,37
2020-11-07,Other,505,2020,11,7,38
2020-11-08,Other,290,2020,11,8,39
2020-11-09,Other,143,2020,11,9,40
2020-11-10,Other,173,2020,11,10,41
2020-11-11,Other,276,2020,11,11,42
2020-11-12,Other,355,2020,11,12,43
2020-11-13,Other,360,2020,11,13,44
2020-11-14,Other,47,2020,11,14,45
2020-11-15,Other,32,2020,11,15,46
2020-11-16,Other,20,2020,11,16,47
2020-11-17,Other,87,2020,11,17,48
2020-11-18,Other,146,2020,11,18,49
2020-11-19,Other,98,2020,11,19,50
2020-11-20,Other,198,2020,11,20,51
2020-11-21,Other,236,2020,11,21,52
2020-11-22,Other,20,2020,11,22,53
2020-11-23,Other,83,2020,11,23,54
2020-11-24,Other,25,2020,11,24,55
2020-11-25,Other,3,2020,11,25,56
2020-11-26,Other,29,2020,11,26,57
2020-11-27,Other,94,2020,11,27,58
2020-11-28,Other,163,2020,11,28,59
2020-11-29,Other,123,2020,11,29,60
2020-11-30,Other,76,2020,11,30,61
2021-10-01,Punjab,5,2021,10,1,1
2021-10-02,Punjab,0,2021,10,2,2
2021-10-03,Punjab,13,2021,10,3,3
2021-10-04,Punjab,28,2021,10,4,4
2021-10-05,Punjab,22,2021,10,5,5
2021-10-06,Punjab,30,2021,10,6,6
2021-10-07,Punjab,85,2021,10,7,7
2021-10-08,Punjab,89,2021,10,8,8
2021-10-09,Punjab,161,2021,10,9,9
2021-10-10,Punjab,173,2021,10,10,10
2021-10-11,Punjab,72,2021,10,11,11
2021-10-12,Punjab,96,2021,10,12,12
2021-10-13,Punjab,140,2021,10,13,13
2021-10-14,Punjab,353,2021,10,14,14
2021-10-15,Punjab,689,2021,10,15,15
2021-10-16,Punjab,512,2021,10,16,16
2021-10-17,Punjab,15,2021,10,17,17
2021-10-18,Punjab,70,2021,10,18,18
2021-10-19,Punjab,515,2021,10,19,19
2021-10-20,Punjab,1034,2021,10,20,20
2021-10-21,Punjab,753,2021,10,21,21
2021-10-22,Punjab,912,2021,10,22,22
2021-10-23,Punjab,572,2021,10,23,23
2021-10-24,Punjab,1,2021,10,24,24
2021-10-25,Punjab,114,2021,10,25,25
2021-10-26,Punjab,327,2021,10,26,26
2021-10-27,Punjab,298,2021,10,27,27
2021-10-28,Punjab,970,2021,10,28,28
2021-10-29,Punjab,1224,2021,10,29,29
2021-10-30,Punjab,1814,2021,10,30,30
2021-10-31,Punjab,2768,2021,10,31,31
2021-11-01,Punjab,2244,2021,11,1,32
2021-11-02,Punjab,2653,2021,11,2,33
2021-11-03,Punjab,2720,2021,11,3,34
2021-11-04,Punjab,3395,2021,11,4,35
2021-11-05,Punjab,6177,2021,11,5,36
2021-11-06,Punjab,4365,2021,11,6,37
2021-11-07,Punjab,4876,2021,11,7,38
2021-11-08,Punjab,5295,2021,11,8,39
2021-11-09,Punjab,4754,2021,11,9,40
2021-11-10,Punjab,5561,2021,11,10,41
2021-11-11,Punjab,4478,2021,11,11,42
2021-11-12,Punjab,3788,2021,11,12,43
2021-11-13,Punjab,4363,2021,11,13,44
2021-11-14,Punjab,2614,2021,11,14,45
2021-11-15,Punjab,2301,2021,11,15,46
2021-11-16,Punjab,1733,2021,11,16,47
2021-11-17,Punjab,696,2021,11,17,48
2021-11-18,Punjab,690,2021,11,18,49
2021-11-19,Punjab,548,2021,11,19,50
2021-11-20,Punjab,363,2021,11,20,51
2021-11-21,Punjab,242,2021,11,21,52
2021-11-22,Punjab,102,2021,11,22,53
2021-11-23,Punjab,93,2021,11,23,54
2021-11-24,Punjab,59,2021,11,24,55
2021-11-25,Punjab,34,2021,11,25,56
2021-11-26,Punjab,27,2021,11,26,57
2021-11-27,Punjab,22,2021,11,27,58
2021-11-28,Punjab,5,2021,11,28,59
2021-11-29,Punjab,12,2021,11,29,60
2021-11-30,Punjab,5,2021,11,30,61
2021-10-01,Haryana,2,2021,10,1,1
2021-10-02,Haryana,3,2021,10,2,2
2021-10-03,Haryana,7,2021,10,3,3
2021-10-04,Haryana,6,2021,10,4,4
2021-10-05,Haryana,10,2021,10,5,5
2021-10-06,Haryana,6,2021,10,6,6
2021-10-07,Haryana,18,2021,10,7,7
2021-10-08,Haryana,30,2021,10,8,8
2021-10-09,Haryana,82,2021,10,9,9
2021-10-10,Haryana,169,2021,10,10,10
2021-10-11,Haryana,78,2021,10,11,11
2021-10-12,Haryana,78,2021,10,12,12
2021-10-13,Haryana,132,2021,10,13,13
2021-10-14,Haryana,201,2021,10,14,14
2021-10-15,Haryana,591,2021,10,15,15
2021-10-16,Haryana,296,2021,10,16,16
2021-10-17,Haryana,0,2021,10,17,17
2021-10-18,Haryana,2,2021,10,18,18
2021-10-19,Haryana,79,2021,10,19,19
2021-10-20,Haryana,241,2021,10,20,20
2021-10-21,Haryana,221,2021,10,21,21
2021-10-22,Haryana,156,2021,10,22,22
2021-10-23,Haryana,263,2021,10,23,23
2021-10-24,Haryana,40,2021,10,24,24
2021-10-25,Haryana,108,2021,10,25,25
2021-10-26,Haryana,241,2021,10,26,26
2021-10-27,Haryana,152,2021,10,27,27
2021-10-28,Haryana,203,2021,10,28,28
2021-10-29,Haryana,231,2021,10,29,29
2021-10-30,Haryana,289,2021,10,30,30
2021-10-31,Haryana,444,2021,10,31,31
2021-11-01,Haryana,246,2021,11,1,32
2021-11-02,Haryana,246,2021,11,2,33
2021-11-03,Haryana,315,2021,11,3,34
2021-11-04,Haryana,387,2021,11,4,35
2021-11-05,Haryana,535,2021,11,5,36
2021-11-06,Haryana,313,2021,11,6,37
2021-11-07,Haryana,202,2021,11,7,38
2021-11-08,Haryana,235,2021,11,8,39
2021-11-09,Haryana,259,2021,11,9,40
2021-11-10,Haryana,357,2021,11,10,41
2021-11-11,Haryana,221,2021,11,11,42
2021-11-12,Haryana,191,2021,11,12,43
2021-11-13,Haryana,302,2021,11,13,44
2021-11-14,Haryana,232,2021,11,14,45
2021-11-15,Haryana,221,2021,11,15,46
2021-11-16,Haryana,351,2021,11,16,47
2021-11-17,Haryana,156,2021,11,17,48
2021-11-18,Haryana,135,2021,11,18,49
2021-11-19,Haryana,207,2021,11,19,50
2021-11-20,Haryana,182,2021,11,20,51
2021-11-21,Haryana,270,2021,11,21,52
2021-11-22,Haryana,148,2021,11,22,53
2021-11-23,Haryana,62,2021,11,23,54
2021-11-24,Haryana,71,2021,11,24,55
2021-11-25,Haryana,54,2021,11,25,56
2021-11-26,Haryana,89,2021,11,26,57
2021-11-27,Haryana,56,2021,11,27,58
2021-11-28,Haryana,19,2021,11,28,59
2021-11-29,Haryana,28,2021,11,29,60
2021-11-30,Haryana,22,2021,11,30,61
2021-10-01,Delhi,0,2021,10,1,1
2021-10-02,Delhi,0,2021,10,2,2
2021-10-03,Delhi,1,2021,10,3,3
2021-10-04,Delhi,0,2021,10,4,4
2021-10-05,Delhi,1,2021,10,5,5
2021-10-06,Delhi,0,2021,10,6,6
2021-10-07,Delhi,0,2021,10,7,7
2021-10-08,Delhi,0,2021,10,8,8
2021-10-09,Delhi,1,2021,10,9,9
2021-10-10,Delhi,5,2021,10,10,10
2021-10-11,Delhi,0,2021,10,11,11
2021-10-12,Delhi,1,2021,10,12,12
2021-10-13,Delhi,0,2021,10,13,13
2021-10-14,Delhi,3,2021,10,14,14
2021-10-15,Delhi,3,2021,10,15,15
2021-10-16,Delhi,0,2021,10,16,16
2021-10-17,Delhi,0,2021,10,17,17
2021-10-18,Delhi,0,2021,10,18,18
2021-10-19,Delhi,1,2021,10,19,19
2021-10-20,Delhi,1,2021,10,20,20
2021-10-21,Delhi,0,2021,10,21,21
2021-10-22,Delhi,4,2021,10,22,22
2021-10-23,Delhi,0,2021,10,23,23
2021-10-24,Delhi,0,2021,10,24,24
2021-10-25,Delhi,1,2021,10,25,25
2021-10-26,Delhi,1,2021,10,26,26
2021-10-27,Delhi,0,2021,10,27,27
2021-10-28,Delhi,1,2021,10,28,28
2021-10-29,Delhi,1,2021,10,29,29
2021-10-30,Delhi,1,2021,10,30,30
2021-10-31,Delhi,2,2021,10,31,31
2021-11-01,Delhi,0,2021,11,1,32
2021-11-02,Delhi,0,2021,11,2,33
2021-11-03,Delhi,0,2021,11,3,34
2021-11-04,Delhi,1,2021,11,4,35
